date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2021-08-18,4838.47,4909.54,4894.24,4818.9,1974743.75,56.84,1.18,4918.408,4950.632,4934.644,1747078.58,1726855.65,1874096.63
2021-08-17,4935.0,4967.56,4837.4,4823.39,1875734.75,-103.67,-2.1,4942.628,4959.093,4947.134,1716661.98,1704847.74,1859347.68
2021-08-16,4935.92,4973.38,4941.07,4931.37,1619533.75,-4.91,-0.1,4983.778,4968.799,4960.714,1675618.83,1720807.63,1830210.96
2021-08-13,4958.76,4993.74,4945.98,4921.28,1583143.25,-27.37,-0.55,4992.676,4968.066,4969.335,1716585.83,1786049.18,1825834.07
2021-08-12,4998.07,5016.26,4973.35,4962.99,1682237.38,-41.99,-0.84,4987.792,4954.585,4976.774,1708316.55,1810084.63,1831654.9
2021-08-11,5037.08,5059.79,5015.34,5009.98,1822660.75,-27.81,-0.55,4982.856,4942.277,4985.68,1706632.73,1815182.94,1838081.58
2021-08-10,4977.82,5043.76,5043.15,4941.24,1670519.0,57.59,1.16,4975.558,4916.791,4989.067,1693033.5,1825551.25,1841124.91
2021-08-09,4890.26,5002.89,4985.56,4884.04,1824368.75,64.0,1.3,4953.82,4887.607,4994.014,1765996.42,1895130.58,1840840.06
2021-08-06,4943.04,4944.35,4921.56,4891.8,1541796.88,-27.11,-0.55,4943.456,4881.581,5001.372,1855512.52,1940805.4,1852727.64
2021-08-05,4946.17,4997.14,4948.67,4921.94,1673818.25,-30.18,-0.61,4921.378,4898.348,5008.766,1911852.7,2003162.56,1855964.41
2021-08-04,4927.74,4979.29,4978.85,4919.66,1754664.62,44.39,0.9,4901.698,4918.656,5015.745,1923733.15,2021337.6,1859224.01
2021-08-03,4909.23,4957.03,4934.46,4890.85,2035333.62,0.72,0.01,4858.024,4935.175,5023.827,1958069.0,2013847.61,1845765.31
2021-08-02,4794.82,4938.82,4933.74,4761.46,2271949.25,122.57,2.55,4821.394,4952.628,5031.259,2024264.73,1939614.3,1814326.24
2021-07-30,4825.7,4825.7,4811.17,4761.04,1823497.75,-39.1,-0.81,4819.706,4970.603,5038.862,2026098.28,1865618.96,1766334.57
2021-07-29,4845.76,4857.97,4850.27,4800.01,1733220.5,89.79,1.89,4875.318,4998.963,5052.359,2094472.43,1853225.18,1740372.89
2021-07-28,4714.29,4785.66,4760.48,4663.9,1926343.88,9.17,0.19,4935.614,5029.082,5071.329,2118942.05,1860980.23,1717332.18
